FHIR_ID,Arabic_term,Long_definition,NAMC_CODE,NAMC_ID,NAMC_TERM,NAMC_term,NAMC_term_DEVANAGARI,NAMC_term_diacritical,NUMC_CODE,NUMC_ID,NUMC_TERM,Ontology_branches,Reference,Short_definition,Tamil_term,Category
AYU_1,,,AYU,1.0,,vyAdhi-viniScayaH,व्याधि-विनिश्चयः,vyādhi-viniścayaḥ,,,,,,,,Ayurveda
AYU_2,,,DIS,2.0,,vikAraH,विकारः,vikāraḥ,,,,,,,,Ayurveda
AYU_3,,,A,3.0,,doShavaiShamyam,दोषवैषम्यम्,dōṣavaiṣamyam,,,,,,,,Ayurveda
AYU_4,,,AA,4.0,,vAtavyAdhiH,वातव्याधिः,vātavyādhiḥ,,,,,,,,Ayurveda
AYU_5,,,AAA,5.0,,doShAvasthA (vAta),दोषावस्था (वात),dōṣāvasthā (vāta),,,,,,,,Ayurveda
AYU_6,,"It is characterized by impaired movements of vāta, fullness of abdomen and aversion to factors causing of increase of vāta such as cold. This may be explained by accumulation of vatadosha at the designated site to a moderate level resulting in accumulation.",SR11 (AAA-1),6.0,,vAtasa~jcayaH,वातसञ्चयः,(a) vātasañcayaḥ,,,,,,,,Ayurveda
AYU_7,,"It is characterized by roughness or hoarseness of voice, emaciation, blackish discoloration of body, twitching in various parts of body, desire for warmth, insomnia, reduced physical strength, hard stools. This may be explained by marked increase of vatadosha functions and consequent physiological and pathological ramifications.",SR12 (AAA-2),7.0,,vAtavRuddhiH,वातवृद्धिः,(a) vātavṛddhiḥ,,,,,,,,Ayurveda
AYU_8,,It is characterized by abdominal pain and increased gaseous movements in abdomen. This may be explained by aggravation of vatadosha at its designated site and preparing to cause certain morbidity.,SR10  (AAA-2.1),8.0,,vAtaprakopaH,वातप्रकोपः,(a) vātaprakopaḥ,,,,,,,,Ayurveda
AYU_9,,"the disorder is characterized by hikkā [hiccup], śvāsa [breathlessness/difficult breathing], cakṣurādīnāmupaghāta [impairment of sense organs viz. eye], pīnasa [cold, catarrh], ardita [facial paralysis], tr̥ṭ [thirst], kāsaḥ [cough]",AAA-2.2,9.0,,prANavAtakopaH,प्राणवातकोपः,prāṇavātakōpaḥ,,,,,,,,Ayurveda
AYU_10,,"the disorder is characterized by kaṇṭharōdha [choking of throat/stopping or lowering voice], manōbhraṁśa [mental disturbance], chardiḥ [vomiting], arōcakaḥ [tastelessness], pīnasa [cold, catarrh], galagaṇḍaḥ [glandular swelling in jaw, neck and throat region /goitre], jatrūrdhvarōga [diseases of body above collar bone/diseases of head and neck]",AAA-2.3,10.0,,udAnavAtakopaH,उदानवातकोपः,udānavātakōpaḥ,,,,,,,,Ayurveda
AYU_11,,"the disorder is characterized by puṁstvabhraṁśa [decrease in virility/semen], utsāhabhraṁśa [decrease/lack of enthusiasm/energy], balabhraṁśaḥ [diminution of physical strength], śōpha [oedema], cittōtplava [excitement], jvaraḥ [fever], sarvāṅgarōga [quadriplegia], nistōda [pricking type of pain], rōmaharṣa [horripilation], aṅgasuptatā [numbness of body parts], kuṣṭhaḥ [skin disease], visarpa [spreading cellulitis/erysipelas], sarvāṅgaga rōga [diseases affecting whole body]",AAA-2.4,11.0,,vyAnavAtakopaH,व्यानवातकोपः,vyānavātakōpaḥ,,,,,,,,Ayurveda
AYU_12,,"the disorder is characterized by gulmaḥ [palpable glandular enlargment in abdomen/abdominal lump], agnisādaḥ [diminution of agni (digestive power)], atisāra [diarrhoea], śūla [colicky pain in the abdomen], grahaṇī [derangement of agni situated in grahaṇī], pakvāśayajarōga [diseases of/having origin in pakvāśaya], āmāśayajarōgaḥ [diseases of/having origin in āmāśaya]",AAA-2.5,12.0,,samAnavAtakopaH,समानवातकोपः,samānavātakōpaḥ,,,,,,,,Ayurveda
AYU_13,,"the disorder is characterized by pakvāśayāśrayarōgaḥ [diseases of pakvāśaya], mūtrapradōṣaḥ [disorders of mūtra/urinary system], śukrapradōṣaḥ [disorders of semen], arśaḥ [haemorrhoids], gudabhraṁśaḥ [rectal prolapse]",AAA-2.6,13.0,,apAnavAtakopaH,अपानवातकोपः,apānavātakōpaḥ,,,,,,,,Ayurveda
AYU_14,,"It is characterized by abnormal movements of vāta, abdominal distension and gurgling sound in the abdomen. This may be explained by spreading of vatadosha from place of accumulation to other parts or entire body.",SR13(AAA-3),14.0,,vAtaprasaraNam,वातप्रसरणम्,(a) vātaprasaraḥ,,,,,,,,Ayurveda
AYU_15,,"It is characterized by sluggishness in activities, reduced talking, lack of interest in activities, loss of consciousness. This may be explained by marked decrease of vatadosha functions and consequent physiological and pathological ramifications.",SR14 (AAA-4),15.0,,vAtakShayaH,वातक्षयः,(a) vātakṣayaḥ,,,,,,,,Ayurveda
AYU_16,,,AAB,16.0,,nAnAtmajavAtavikAraH,नानात्मजवातविकारः,nānātmajavātavikāraḥ,,,,,,,,Ayurveda
AYU_17,,"It is characterised by irrelevant and irrational talk, mental confusion. This may be explained by: (a) Vitiation of Vata affecting motor and intellectual faculties.",SQ00 (AAB-1),17.0,,atipralApaH (kEvalavAta),अतिप्रलापः (केवलवात),(a) atipralāpaḥ                       (a) pralāpakaḥ,,,,,,,,Ayurveda
AYU_18,,"It is characterised by difficulty to concentrate, fickleness, confusion. This may be explained by: (a) Vitiation of vata affecting the mind.",SQ05(AAB-2),18.0,,anavasthitacittatvam (kEvalavAta),अनवस्थितचित्तत्वम् (केवलवात),(a) anavasthitacittatvam,,,,,,,,Ayurveda
AYU_19,,,AAB-3 (SP9Y),19.0,,a~ggamardaH (kEvalavAta),अङ्गमर्दः (केवलवात),(a) aṅgamardaḥ,,,,,,,,Ayurveda
AYU_20,,,AAB-4 (SP9Y),20.0,,a~ggaSuShkatA (kEvalavAta),अङ्गशुष्कता (केवलवात),(a) aṅgaśuṣkatā,,,,,,,,Ayurveda
AYU_21,,"It is characterised by atony or flaccidity of the joints, muscles and body parts. This may be explained by: (a) Obstructed or aggravated vata causes loss of functions, flaccidity.",SP21 (AAB-5),21.0,,a~ggaviBraMSaH (kEvalavAta),अङ्गविभ्रंशः (केवलवात),(a) aṅgavibhraṁśaḥ,,,,,,,,Ayurveda
AYU_22,,,AAB-6,22.0,,arditaH (kEvalavAta),अर्दितः (केवलवात),arditaḥ (kēvalavāta),,,,,,,,Ayurveda
AYU_23,,"It is characterised by loss of taste which may be associated with loss of smell, anorexia, increased secretion of saliva. This may be explained by: (a) Impairment of digestive and metabolic factors affecting kapha residing on the tongue.",SM1P (AAB-7),23.0,,arasaj~jatA (kEvalavAta),अरसज्ञता (केवलवात),(a) arasajñatā,,,,,,,,Ayurveda
AYU_24,,,AAB-8,24.0,,aSabdaSravaNam (kEvalavAta),अशब्दश्रवणम् (केवलवात),aśabdaśravaṇam (kēvalavāta),,,,,,,,Ayurveda
AYU_25,,,AAB-9,25.0,,asvapnaH (kEvalavAta),अस्वप्नः (केवलवात),asvapnaḥ (kēvalavāta),,,,,,,,Ayurveda
AYU_26,,,AAB-10,26.0,,akShiBedaH (kEvalavAta),अक्षिभेदः (केवलवात),akṣibhēdaḥ (kēvalavāta),,,,,,,,Ayurveda
AYU_27,,,AAB-11,27.0,,akShivyudAsaH (kEvalavAta),अक्षिव्युदासः (केवलवात),akṣivyudāsaḥ (kēvalavāta),,,,,,,,Ayurveda
AYU_28,,,AAB-12,28.0,,akShiSUlaH (kEvalavAta),अक्षिशूलः (केवलवात),akṣiśūlaḥ (kēvalavāta),,,,,,,,Ayurveda
AYU_29,,,AAB-13,29.0,,ATopaH (kEvalavAta),आटोपः (केवलवात),āṭōpaḥ (kēvalavāta),,,,,,,,Ayurveda
AYU_30,,,AAB-14,30.0,,AkShepakaH (kEvalavAta),आक्षेपकः (केवलवात),ākṣēpakaḥ (kēvalavāta),,,,,,,,Ayurveda
AYU_31,,"It is characterised by intolerance to loud sounds. This may be explained by: (a) Increased vatadosha, pittadosha leading to hypersensitivity of ear.",SK84 (AAB-15),31.0,,uccaiHSrutiH (kEvalavAta),उच्चैःश्रुतिः (केवलवात),(a) uccaiḥśrutiḥ,,,,,,,,Ayurveda
AYU_32,,,AAB-16,32.0,,udarAveShTaH (kEvalavAta),उदरावेष्टः (केवलवात),udarāvēṣṭaḥ (kēvalavāta),,,,,,,,Ayurveda
AYU_33,,,AAB-17,33.0,,udAvartaH (kEvalavAta),उदावर्तः (केवलवात),udāvartaḥ (kēvalavāta),,,,,,,,Ayurveda
AYU_34,,,AAB-18,34.0,,UrustamBaH/ADhyavAtaH (kEvalavAta),ऊरुस्तम्भः/आढ्यवातः (केवलवात),ūrustambhaḥ/āḍhyavātaḥ (kēvalavāta),,,,,,,,Ayurveda
AYU_35,,,AAB-19,35.0,,UrusAdaH (kEvalavAta),ऊरुसादः (केवलवात),ūrusādaḥ (kēvalavāta),,,,,,,,Ayurveda
AYU_36,,,AAB-20,36.0,,ekA~ggarogaH (kEvalavAta),एकाङ्गरोगः (केवलवात),ēkāṅgarōgaḥ (kēvalavāta),,,,,,,,Ayurveda
AYU_37,,,AAB-21,37.0,,oShThaBedaH (kEvalavAta),ओष्ठभेदः (केवलवात),ōṣṭhabhēdaḥ (kēvalavāta),,,,,,,,Ayurveda
AYU_38,,"It is characterised by change in the character of voice making it harsh and husky, feeling of roughness and irritation of throat. This may be explained by: (a) Vitiated vata affecting the speech faculties.",SL02 (AAB-22),38.0,,kaNThodhvaMsaH (kEvalavAta),कण्ठोध्वंसः (केवलवात),(a) kaṇṭhodhvaṃsaḥ,,,,,,,,Ayurveda
AYU_39,,,AAB-23,39.0,,karNaSUlaH (kEvalavAta),कर्णशूलः (केवलवात),karṇaśūlaḥ (kēvalavāta),,,,,,,,Ayurveda
AYU_40,,,AAB-24,40.0,,kampaH/vepathuH (kEvalavAta),कम्पः/वेपथुः (केवलवात),kampaḥ/vēpathuḥ (kēvalavāta),,,,,,,,Ayurveda
AYU_41,,,AAB-25 (SM1Y),41.0,,kaShAyAsyatA (kEvalavAta),कषायास्यता (केवलवात),(a) kaṣāyāsyatā,,,,,,,,Ayurveda
AYU_42,,"It is characterised by feeling extreme exhaustion even without any physical effort, work. This may be explained by: (a) Vitiation of all the three dosha, seven elementary tissues and ojas.",SP97 (AAB-26),42.0,,klamaH (kEvalavAta),क्लमः (केवलवात),(a) klamaḥ,,,,,,,,Ayurveda
AYU_43,,It is characterised by discoloration or pigmentation of skin. This may be explained by: (a) Increased vatadosha.,SN41 (AAB-27),43.0,,kArShNyam (kEvalavAta),कार्ष्ण्यम् (केवलवात),(a) kārṣṇyam,,,,,,,,Ayurveda
AYU_44,,,AAB-28,44.0,,kubjatvam (kEvalavAta),कुब्जत्वम् (केवलवात),kubjatvam (kēvalavāta),,,,,,,,Ayurveda
AYU_45,,"It is characterised by sudden or gradual loss of body weight, loss of muscle. This may be explained by: (a) Emaciation in the body due to vitiation of vāta.",SP61 (AAB-29),45.0,,kArSyam (kEvalavAta),कार्श्यम् (केवलवात),(a) kārśyam,,,,,,,,Ayurveda
AYU_46,,It is characterised by scaling of scalp / forehead skin. This may be explained by: (a) Increased vatadosha.,SN4C (AAB-30),46.0,,keSaBUmisPuTanam (kEvalavAta),केशभूमिस्फुटनम् (केवलवात),(a) keśabhūmisphuṭanam,,,,,,,,Ayurveda
AYU_47,,,AAB-31,47.0,,kha~jjaH/kha~jjatvam (kEvalavAta),खञ्जः/खञ्जत्वम् (केवलवात),khañjaḥ/khañjatvam (kēvalavāta),,,,,,,,Ayurveda
AYU_48,,,AAB-32,48.0,,garBanASaH (kEvalavAta),गर्भनाशः (केवलवात),garbhanāśaḥ (kēvalavāta),,,,,,,,Ayurveda
AYU_49,,"It is characterised by pain, stiffness of the neck. This may be explained by: (a) Vitiation of vata causing stiffness of neck muscles.",SP45 (AAB-33),49.0,,grIvAstamBaH (kEvalavAta),ग्रीवास्तम्भः (केवलवात),(a) grīvāstambhaḥ,,,,,,,,Ayurveda
AYU_50,,,AAB-34,50.0,,gudaBraMSaH (kEvalavAta),गुदभ्रंशः (केवलवात),gudabhraṁśaḥ (kēvalavāta),,,,,,,,Ayurveda
AYU_51,,It is characterised by pain in the anal region radiating to rest of perineum and lower back. This may be explained by: (a) Severe vitiation of Descending vata affecting the anal region.,SM50 (AAB-35),51.0,,gudArtiH (kEvalavAta),गुदार्तिः (केवलवात),(a) gudārtiḥ,,,,,,,,Ayurveda
AYU_52,,,AAB-36 (SP1Y),52.0,,gulPa-grahaH (kEvalavAta),गुल्फ-ग्रहः (केवलवात),(a) gulpha-grahaḥ,,,,,,,,Ayurveda
